video_id,author,comment,like_count,published_at,type,clean_text
hFIMNthZ6ow,@OjolPalembang,MU sudah tim biasa saja..,0,2025-05-31T06:31:40Z,parent,mu sudah tim biasa saja
hFIMNthZ6ow,@herlanbangofficial3753,"Hal yg paling qw tunggu laga antara Asean all star vs MU adalah atraksi koreografi yg dapat disuguhkan fans Malaysia. NAMUN, gga ada koreografi yg bisa ditampilkan. Fans Malaydes haya omong kosong doang merasa koreografinya paling hebat. Ternyata cuma segitu doang.😂😂😂",0,2025-05-31T06:17:40Z,parent,hal yg paling qw tunggu laga antara asean all star vs mu adalah atraksi koreografi yg dapat disuguhkan fans malaysia namun gga ada koreografi yg bisa ditampilkan fans malaydes haya omong kosong doang merasa koreografinya paling hebat ternyata cuma segitu doang
hFIMNthZ6ow,@KancilPutra-yu2jv,"Semenjak legend owen ,neved roony ,dan pan persi Sterling,sampai sekarang Macester united kehilangan permainan ya",0,2025-05-31T01:41:38Z,parent,semenjak legend owen neved roony dan pan persi sterlingsampai sekarang macester united kehilangan permainan ya
hFIMNthZ6ow,@GiovanniamTjj,"Berkat DORA-TUJUH-TUJUH😌 saya melesat, dari pengantar koran ke bos media. ⛰",0,2025-05-30T15:46:28Z,parent,berkat doratujuhtujuh saya melesat dari pengantar koran ke bos media
hFIMNthZ6ow,@MarcowKcXA,"Happy banget, cuma di 𝘿 𝙊𝙍𝘼𝟳𝟳🧒-keberuntungan datang terus! 🏋",0,2025-05-30T15:46:26Z,parent,happy banget cuma di keberuntungan datang terus
hFIMNthZ6ow,@ThomaszrjuO,Keuntungan dari D ORA77🤚 mendukung saya dalam membeli rumah impian. 🤲,0,2025-05-30T15:46:26Z,parent,keuntungan dari d ora mendukung saya dalam membeli rumah impian
hFIMNthZ6ow,@DmitryLmpq5,menang besar di 𝐃-𝐎𝐑𝐀𝟕𝟕🤣-bikin mimpi jadi kenyataan! 🪀,0,2025-05-30T15:46:25Z,parent,menang besar di bikin mimpi jadi kenyataan
hFIMNthZ6ow,@JuanZLwRf,"Melalui 𝘿𝙊𝙍𝘼 𝟳 𝟳🙅 saya bertransformasi, dari tukang bakso menjadi pemilik restoran. 🍅",0,2025-05-30T15:46:24Z,parent,melalui saya bertransformasi dari tukang bakso menjadi pemilik restoran
hFIMNthZ6ow,@MiguelsDo1u,"Alhamdulillah, rezeki nggak kemana! Baru main di 𝘿𝙊𝙍-𝘼-𝟳-𝟳🤐, langsung dapat jakpot besar! Thank you banget! 🐞",0,2025-05-30T15:46:22Z,parent,alhamdulillah rezeki nggak kemana baru main di langsung dapat jakpot besar thank you banget
hFIMNthZ6ow,@Robertohp1GC,"Berkat 𝗗𝗢𝗥𝗔𝟳𝟳😘 saya melesat, dari penjual keliling ke bos warung kopi. 🎽",0,2025-05-30T15:46:20Z,parent,berkat saya melesat dari penjual keliling ke bos warung kopi
hFIMNthZ6ow,@MichaelkJCSV,𝗗𝗢𝗥-𝗔-𝟳-𝟳🤔 menyediakan platform untuk pembelajaran berkelanjutan. 🐨,0,2025-05-30T15:46:20Z,parent,menyediakan platform untuk pembelajaran berkelanjutan
hFIMNthZ6ow,@Ángelrrow7,Main di 𝘿𝙊𝙍 𝘼 𝟳 𝟳🙎-rasanya kayak mimpi! Hasilnya langsung melimpah! 🏪,0,2025-05-30T15:46:19Z,parent,main di rasanya kayak mimpi hasilnya langsung melimpah
hFIMNthZ6ow,@GünterrFxnv,Bahagia banget dapat rezeki berkah dari 𝘿𝙊𝙍𝘼𝟳𝟳😑! ❇,0,2025-05-30T15:46:18Z,parent,bahagia banget dapat rezeki berkah dari
hFIMNthZ6ow,@IvanodFZQ,"Rezeki hari ini datang terus dari 𝘿-𝙊-𝙍-𝘼-𝟳-𝟳😥, senang banget rasanya! 🥐",0,2025-05-30T15:46:15Z,parent,rezeki hari ini datang terus dari senang banget rasanya
hFIMNthZ6ow,@AndreiSGTq0,Bermain di 𝐃-𝐎-𝐑-𝐀𝟕𝟕😄 memberikan solusi untuk menutup hutang dengan hasil yang konsisten. 🍈,0,2025-05-30T15:46:15Z,parent,bermain di memberikan solusi untuk menutup hutang dengan hasil yang konsisten
hFIMNthZ6ow,@IvanNGahU,𝘿-𝙊-𝙍𝘼𝟳𝟳🙄 menawarkan tim dukungan yang responsif dan bermanfaat. 🤘,0,2025-05-30T15:46:12Z,parent,menawarkan tim dukungan yang responsif dan bermanfaat
hFIMNthZ6ow,@IvanFxz9p,"Langsung cairkan semua kemenangan dari 𝘿 𝙊 𝙍 𝘼 𝟳𝟳🧑,saatnya investasi! 🦅",0,2025-05-30T15:46:12Z,parent,langsung cairkan semua kemenangan dari saatnya investasi
hFIMNthZ6ow,@André5njEe,"Dengan 𝐃 𝐎 𝐑 𝐀 𝟕 𝟕👆 saya sukses, dari buruh tani jadi pengusaha pertanian. 🚥",0,2025-05-30T15:46:10Z,parent,dengan saya sukses dari buruh tani jadi pengusaha pertanian
hFIMNthZ6ow,@GünterQNPvo,"Cuma main iseng di 𝘿 𝙊 𝙍𝘼𝟳𝟳👦,malah dapet untung buat jalan-jalan. Terima kasih banyak! 🥡",0,2025-05-30T15:46:10Z,parent,cuma main iseng di malah dapet untung buat jalanjalan terima kasih banyak
hFIMNthZ6ow,@JacquesnZ3cT,Gak nyangka bisa dapet segini main di 𝐃 𝐎 𝐑𝐀𝟕𝟕🖕! Auto traktir temen-temen! 😒,0,2025-05-30T15:46:08Z,parent,gak nyangka bisa dapet segini main di auto traktir tementemen
hFIMNthZ6ow,@RicharddRqjn,"Sikat habis semua bonus dan promo di 𝗗𝗢𝗥 𝗔 𝟳 𝟳💪,auto jadi jutawan! 🦀",0,2025-05-30T15:46:05Z,parent,sikat habis semua bonus dan promo di auto jadi jutawan
hFIMNthZ6ow,@AntoniooZlTh,Jelajahi dunia 🤮DEWADORA🤮 dan lihat apa yang ditawarkannya. 😘,0,2025-05-30T15:37:46Z,parent,jelajahi dunia dewadora dan lihat apa yang ditawarkannya
hFIMNthZ6ow,@GünterM4RkO,"Ternyata main di 😊𝘋𝐄𝘞𝐴DORA😊-itu gacir beneran, hasilnya langsung terlihat! 🛳",0,2025-05-30T15:37:38Z,parent,ternyata main di doraitu gacir beneran hasilnya langsung terlihat
hFIMNthZ6ow,@Rolf0Ubo8,"Hari ini super happy berkat 🤖𝘋𝘌𝑊𝐀DORA🤖,rezeki datang melimpah! 🤞",0,2025-05-30T15:37:37Z,parent,hari ini super happy berkat dorarezeki datang melimpah
hFIMNthZ6ow,@David3ydSy,"Bener-bener gacir banget main di 👍𝘿𝘌𝙒𝘼DORA👍.Modal kecil, hasilnya luar biasa! ⚾",0,2025-05-30T15:37:36Z,parent,benerbener gacir banget main di doramodal kecil hasilnya luar biasa
hFIMNthZ6ow,@Louislm0ug,"Nggak percaya bisa dapet jakpot di 😕DEWADORA😕, ternyata benar-benar gacir! 🍕",0,2025-05-30T15:37:35Z,parent,nggak percaya bisa dapet jakpot di dewadora ternyata benarbenar gacir
hFIMNthZ6ow,@Luisbdixi,"Baru coba main di 👊DEWADORA👊, eh rezekinya langsung gacir. Mantap banget! 🦖",0,2025-05-30T15:37:31Z,parent,baru coba main di dewadora eh rezekinya langsung gacir mantap banget
hFIMNthZ6ow,@PhilipperI1ko,Hasil nyata di 👇DEWADORA👇 menunjukkan saya beranjak dari sopir angkot ke pengusaha. 🧇,0,2025-05-30T15:37:31Z,parent,hasil nyata di dewadora menunjukkan saya beranjak dari sopir angkot ke pengusaha
hFIMNthZ6ow,@NikolaiGy4tX,"🧎DEWADORA🧎 bikin hari-hari makin berwarna, rezeki tak pernah ingkar janji! 🈹",0,2025-05-30T15:37:32Z,parent,dewadora bikin harihari makin berwarna rezeki tak pernah ingkar janji
hFIMNthZ6ow,@Pierre5ZEam,"Mantap betul! Main di 😲D𝘌𝐖ADORA😲 anti lag, cuan pun anti macet! 🏳‍🌈",0,2025-05-30T15:37:30Z,parent,mantap betul main di dadora anti lag cuan pun anti macet
hFIMNthZ6ow,@AndreiytWdc,"Keberuntungan rezeki hari ini datang berkat 🥶𝘋𝐄W𝐴DORA🥶,alhamdulillahirobbilalamin! 🦣",0,2025-05-30T15:37:29Z,parent,keberuntungan rezeki hari ini datang berkat wdoraalhamdulillahirobbilalamin
hFIMNthZ6ow,@AndréTXtlU,"Hasil gacir terus di 🧑DEWADORA🧑,nggak pernah kecewa! 🎺",0,2025-05-30T15:37:29Z,parent,hasil gacir terus di dewadoranggak pernah kecewa
