video_id,author,comment,like_count,published_at,type
hFIMNthZ6ow,@OjolPalembang,MU sudah tim biasa saja..,0,2025-05-31T06:31:40Z,parent
hFIMNthZ6ow,@herlanbangofficial3753,"Hal yg paling qw tunggu laga antara Asean all star vs MU adalah atraksi koreografi yg dapat disuguhkan fans Malaysia. NAMUN, gga ada koreografi yg bisa ditampilkan. Fans Malaydes haya omong kosong doang merasa koreografinya paling hebat. Ternyata cuma segitu doang.😂😂😂",0,2025-05-31T06:17:40Z,parent
hFIMNthZ6ow,@KancilPutra-yu2jv,"Semenjak legend owen ,neved roony ,dan pan persi Sterling,sampai sekarang Macester united kehilangan permainan ya",0,2025-05-31T01:41:38Z,parent
hFIMNthZ6ow,@medroastt9888,luaar biasa emyu cuma kalah 1-0 😜,0,2025-05-31T00:42:47Z,parent
hFIMNthZ6ow,@MuhammadJuraimi-f1w,ASEAN good strong team,0,2025-05-30T23:51:11Z,parent
hFIMNthZ6ow,@user-tr8ro7gx8p,Mencret united,0,2025-05-30T17:26:36Z,parent
hFIMNthZ6ow,@GiovanniamTjj,"Berkat DORA-TUJUH-TUJUH😌 saya melesat, dari pengantar koran ke bos media. ⛰",0,2025-05-30T15:46:28Z,parent
hFIMNthZ6ow,@MarcowKcXA,"Happy banget, cuma di 𝘿 𝙊𝙍𝘼𝟳𝟳🧒-keberuntungan datang terus! 🏋",0,2025-05-30T15:46:26Z,parent
hFIMNthZ6ow,@ThomaszrjuO,Keuntungan dari D ORA77🤚 mendukung saya dalam membeli rumah impian. 🤲,0,2025-05-30T15:46:26Z,parent
hFIMNthZ6ow,@DmitryLmpq5,menang besar di 𝐃-𝐎𝐑𝐀𝟕𝟕🤣-bikin mimpi jadi kenyataan! 🪀,0,2025-05-30T15:46:25Z,parent
hFIMNthZ6ow,@JuanZLwRf,"Melalui 𝘿𝙊𝙍𝘼 𝟳 𝟳🙅 saya bertransformasi, dari tukang bakso menjadi pemilik restoran. 🍅",0,2025-05-30T15:46:24Z,parent
hFIMNthZ6ow,@MiguelsDo1u,"Alhamdulillah, rezeki nggak kemana! Baru main di 𝘿𝙊𝙍-𝘼-𝟳-𝟳🤐, langsung dapat jakpot besar! Thank you banget! 🐞",0,2025-05-30T15:46:22Z,parent
hFIMNthZ6ow,@Robertohp1GC,"Berkat 𝗗𝗢𝗥𝗔𝟳𝟳😘 saya melesat, dari penjual keliling ke bos warung kopi. 🎽",0,2025-05-30T15:46:20Z,parent
hFIMNthZ6ow,@MichaelkJCSV,𝗗𝗢𝗥-𝗔-𝟳-𝟳🤔 menyediakan platform untuk pembelajaran berkelanjutan. 🐨,0,2025-05-30T15:46:20Z,parent
hFIMNthZ6ow,@Ángelrrow7,Main di 𝘿𝙊𝙍 𝘼 𝟳 𝟳🙎-rasanya kayak mimpi! Hasilnya langsung melimpah! 🏪,0,2025-05-30T15:46:19Z,parent
hFIMNthZ6ow,@GünterrFxnv,Bahagia banget dapat rezeki berkah dari 𝘿𝙊𝙍𝘼𝟳𝟳😑! ❇,0,2025-05-30T15:46:18Z,parent
hFIMNthZ6ow,@IvanodFZQ,"Rezeki hari ini datang terus dari 𝘿-𝙊-𝙍-𝘼-𝟳-𝟳😥, senang banget rasanya! 🥐",0,2025-05-30T15:46:15Z,parent
hFIMNthZ6ow,@AndreiSGTq0,Bermain di 𝐃-𝐎-𝐑-𝐀𝟕𝟕😄 memberikan solusi untuk menutup hutang dengan hasil yang konsisten. 🍈,0,2025-05-30T15:46:15Z,parent
hFIMNthZ6ow,@IvanNGahU,𝘿-𝙊-𝙍𝘼𝟳𝟳🙄 menawarkan tim dukungan yang responsif dan bermanfaat. 🤘,0,2025-05-30T15:46:12Z,parent
hFIMNthZ6ow,@IvanFxz9p,"Langsung cairkan semua kemenangan dari 𝘿 𝙊 𝙍 𝘼 𝟳𝟳🧑,saatnya investasi! 🦅",0,2025-05-30T15:46:12Z,parent
hFIMNthZ6ow,@André5njEe,"Dengan 𝐃 𝐎 𝐑 𝐀 𝟕 𝟕👆 saya sukses, dari buruh tani jadi pengusaha pertanian. 🚥",0,2025-05-30T15:46:10Z,parent
hFIMNthZ6ow,@GünterQNPvo,"Cuma main iseng di 𝘿 𝙊 𝙍𝘼𝟳𝟳👦,malah dapet untung buat jalan-jalan. Terima kasih banyak! 🥡",0,2025-05-30T15:46:10Z,parent
hFIMNthZ6ow,@JacquesnZ3cT,Gak nyangka bisa dapet segini main di 𝐃 𝐎 𝐑𝐀𝟕𝟕🖕! Auto traktir temen-temen! 😒,0,2025-05-30T15:46:08Z,parent
hFIMNthZ6ow,@RicharddRqjn,"Sikat habis semua bonus dan promo di 𝗗𝗢𝗥 𝗔 𝟳 𝟳💪,auto jadi jutawan! 🦀",0,2025-05-30T15:46:05Z,parent
hFIMNthZ6ow,@AntoniooZlTh,Jelajahi dunia 🤮DEWADORA🤮 dan lihat apa yang ditawarkannya. 😘,0,2025-05-30T15:37:46Z,parent
hFIMNthZ6ow,@GünterM4RkO,"Ternyata main di 😊𝘋𝐄𝘞𝐴DORA😊-itu gacir beneran, hasilnya langsung terlihat! 🛳",0,2025-05-30T15:37:38Z,parent
hFIMNthZ6ow,@Rolf0Ubo8,"Hari ini super happy berkat 🤖𝘋𝘌𝑊𝐀DORA🤖,rezeki datang melimpah! 🤞",0,2025-05-30T15:37:37Z,parent
hFIMNthZ6ow,@David3ydSy,"Bener-bener gacir banget main di 👍𝘿𝘌𝙒𝘼DORA👍.Modal kecil, hasilnya luar biasa! ⚾",0,2025-05-30T15:37:36Z,parent
hFIMNthZ6ow,@Louislm0ug,"Nggak percaya bisa dapet jakpot di 😕DEWADORA😕, ternyata benar-benar gacir! 🍕",0,2025-05-30T15:37:35Z,parent
hFIMNthZ6ow,@Luisbdixi,"Baru coba main di 👊DEWADORA👊, eh rezekinya langsung gacir. Mantap banget! 🦖",0,2025-05-30T15:37:31Z,parent
hFIMNthZ6ow,@PhilipperI1ko,Hasil nyata di 👇DEWADORA👇 menunjukkan saya beranjak dari sopir angkot ke pengusaha. 🧇,0,2025-05-30T15:37:31Z,parent
hFIMNthZ6ow,@NikolaiGy4tX,"🧎DEWADORA🧎 bikin hari-hari makin berwarna, rezeki tak pernah ingkar janji! 🈹",0,2025-05-30T15:37:32Z,parent
